"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Ramon Sessions",3100,"NY@IND 12/04/2017 07:00PM ET",13.156,"NY"
"C","Salah Mejri",3100,"DEN@DAL 12/04/2017 08:30PM ET",13.681,"DAL"
"PF/C","Marreese Speights",3100,"ORL@CHA 12/04/2017 07:00PM ET",13.956,"ORL"
"SG/SF","Tony Allen",3100,"GS@NO 12/04/2017 08:00PM ET",9.658,"NO"
"PF","Cheick Diallo",3100,"GS@NO 12/04/2017 08:00PM ET",5.550,"NO"
"PG/SG","Langston Galloway",3100,"DET@SA 12/04/2017 08:30PM ET",10.833,"DET"
"PG/SG","Jeremy Lin",3000,"BKN@ATL 12/04/2017 07:30PM ET",23.000,"BKN"
"PG","Josh Magette",3000,"BKN@ATL 12/04/2017 07:30PM ET",6.188,"ATL"
"PG/SG","Tyler Dorsey",3000,"BKN@ATL 12/04/2017 07:30PM ET",3.714,"ATL"
"SG","Nicolas Brussino",3000,"BKN@ATL 12/04/2017 07:30PM ET",1.250,"ATL"
"PG","Jacob Wiley",3000,"BKN@ATL 12/04/2017 07:30PM ET",5.813,"BKN"
"SG","Yakuba Ouattara",3000,"BKN@ATL 12/04/2017 07:30PM ET",0,"BKN"
"SG","Gary Payton II",3000,"MIL@BOS 12/04/2017 07:30PM ET",4.000,"MIL"
"PG/SF","Rashad Vaughn",3000,"MIL@BOS 12/04/2017 07:30PM ET",4.750,"MIL"
"PG/SG","Jason Terry",3000,"MIL@BOS 12/04/2017 07:30PM ET",5.813,"MIL"
"PF/C","D.J. Wilson",3000,"MIL@BOS 12/04/2017 07:30PM ET",1.906,"MIL"
"PF","Abdel Nader",3000,"MIL@BOS 12/04/2017 07:30PM ET",3.432,"BOS"
"PF/C","Guerschon Yabusele",3000,"MIL@BOS 12/04/2017 07:30PM ET",4.393,"BOS"
"SG","Sterling Brown",3000,"MIL@BOS 12/04/2017 07:30PM ET",4.450,"MIL"
"PF","Joel Bolomboy",3000,"MIL@BOS 12/04/2017 07:30PM ET",3.000,"MIL"
"SG/SF","Gordon Hayward",3000,"MIL@BOS 12/04/2017 07:30PM ET",3.250,"BOS"
"SG","Jabari Bird",3000,"MIL@BOS 12/04/2017 07:30PM ET",2.125,"BOS"
"SG","Kadeem Allen",3000,"MIL@BOS 12/04/2017 07:30PM ET",0,"BOS"
"PF/C","Cristiano Felicio",3000,"CLE@CHI 12/04/2017 08:00PM ET",9.461,"CHI"
"PG","Kay Felder",3000,"CLE@CHI 12/04/2017 08:00PM ET",7.938,"CHI"
"PG","Jose Calderon",3000,"CLE@CHI 12/04/2017 08:00PM ET",6.536,"CLE"
"SG/SF","Quincy Pondexter",3000,"CLE@CHI 12/04/2017 08:00PM ET",6.482,"CHI"
"SG/SF","Cedi Osman",3000,"CLE@CHI 12/04/2017 08:00PM ET",4.500,"CLE"
"PG","Ryan Arcidiacono",3000,"CLE@CHI 12/04/2017 08:00PM ET",1.500,"CHI"
"SG/SF","John Holland",3000,"CLE@CHI 12/04/2017 08:00PM ET",1.833,"CLE"
"PG","London Perrantes",3000,"CLE@CHI 12/04/2017 08:00PM ET",0,"CLE"
"PG/SG","Cameron Payne",3000,"CLE@CHI 12/04/2017 08:00PM ET",0,"CHI"
"PF/C","Ekpe Udoh",3000,"WAS@UTA 12/04/2017 09:00PM ET",11.413,"UTA"
"SF","Royce O'Neale",3000,"WAS@UTA 12/04/2017 09:00PM ET",5.734,"UTA"
"PF/C","Chris McCullough",3000,"WAS@UTA 12/04/2017 09:00PM ET",6.750,"WAS"
"C","Tony Bradley",3000,"WAS@UTA 12/04/2017 09:00PM ET",1.938,"UTA"
"PG","Nate Wolters",3000,"WAS@UTA 12/04/2017 09:00PM ET",1.000,"UTA"
"SG","Sheldon Mac",3000,"WAS@UTA 12/04/2017 09:00PM ET",0,"WAS"
"PF","Mike Young",3000,"WAS@UTA 12/04/2017 09:00PM ET",0,"WAS"
